ili_id	status	superseded_by	origin	used_by	definition
i41309	1		pwn-3.0:01127019-n	pwn-3.0:01127019-n;omw-arb-1.4:01127019-n;wnja-1.9.0:01127019-n;wnb_zsm-2.0:01127019-n	the act of enforcing; ensuring observance of or obedience to
i41310	1		pwn-3.0:01127245-n	pwn-3.0:01127245-n;omw-arb-1.4:01127245-n;wnja-1.9.0:01127245-n	the act of compelling by force of authority
i41311	1		pwn-3.0:01127379-n	pwn-3.0:01127379-n;wnja-1.9.0:01127379-n;wnb_id-2.0:01127379-n;wnb_zsm-2.0:01127379-n	the act of accomplishing some aim or executing some order
i41312	1		pwn-3.0:01127623-n	pwn-3.0:01127623-n;omw-arb-1.4:01127623-n;wnja-1.9.0:01127623-n;wnb_id-2.0:01127623-n;wnb_zsm-2.0:01127623-n	the act of imposing something (as a tax or an embargo)
i41313	1		pwn-3.0:01127874-n	pwn-3.0:01127874-n;wnja-1.9.0:01127874-n;wnb_id-2.0:01127874-n;wnb_zsm-2.0:01127874-n	the imposition of duties or quotas on imports in order to protect domestic industry against foreign competition
i41314	1		pwn-3.0:01128137-n	pwn-3.0:01128137-n;wnja-1.9.0:01128137-n	ensuring obedience to the laws
i41315	1		pwn-3.0:01128266-n	pwn-3.0:01128266-n;wnja-1.9.0:01128266-n	the actions of a vigilance committee in trying to enforce the laws
i41316	1		pwn-3.0:01128390-n	pwn-3.0:01128390-n;omw-arb-1.4:01128390-n;wnja-1.9.0:01128390-n	social control by dominating
i41317	1		pwn-3.0:01128547-n	pwn-3.0:01128547-n;wnja-1.9.0:01128547-n	domination of a political organization by a party boss
i41318	1		pwn-3.0:01128655-n	pwn-3.0:01128655-n;wnja-1.9.0:01128655-n	the act of mastering or subordinating someone
i41319	1		pwn-3.0:01128806-n	pwn-3.0:01128806-n;wnja-1.9.0:01128806-n;wnb_zsm-2.0:01128806-n	domination (of a market or commodity) to the exclusion of others
i41320	1		pwn-3.0:01128984-n	pwn-3.0:01128984-n;omw-arb-1.4:01128984-n;wnja-1.9.0:01128984-n	the adoption of the behavior patterns of the surrounding culture
i41321	1		pwn-3.0:01129363-n	pwn-3.0:01129363-n;wnja-1.9.0:01129363-n;wnb_id-2.0:01129363-n;wnb_zsm-2.0:01129363-n	socialization through training and education to develop one's mind or manners
i41322	1		pwn-3.0:01129532-n	pwn-3.0:01129532-n;omw-arb-1.4:01129532-n;wnja-1.9.0:01129532-n;wnb_id-2.0:01129532-n;wnb_zsm-2.0:01129532-n	helping someone grow up to be an accepted member of the community
i41323	1		pwn-3.0:01129920-n	pwn-3.0:01129920-n;omw-sq-1.4:01129920-n;omw-arb-1.4:01129920-n;omw-bg-1.4:01129920-n;wnja-1.9.0:01129920-n;wnb_id-2.0:01129920-n;wnb_zsm-2.0:01129920-n;wnkaw-0.9:01129920-n	the social force that binds you to the courses of action demanded by that force; ; - John D.Rockefeller Jr
i41324	1		pwn-3.0:01130560-n	pwn-3.0:01130560-n;wnja-1.9.0:01130560-n	an obligation arising out of considerations of right and wrong
i41325	1		pwn-3.0:01130735-n	pwn-3.0:01130735-n;wnja-1.9.0:01130735-n	the obligation of those of high rank to be honorable and generous (often used ironically)
i41326	1		pwn-3.0:01130905-n	pwn-3.0:01130905-n;wnja-1.9.0:01130905-n	the duty of proving a disputed charge
i41327	1		pwn-3.0:01131004-n	pwn-3.0:01131004-n;wnja-1.9.0:01131004-n	the responsibilities of a citizen
i41328	1		pwn-3.0:01131135-n	pwn-3.0:01131135-n;wnja-1.9.0:01131135-n	the civic duty to serve on a jury
i41329	1		pwn-3.0:01131224-n	pwn-3.0:01131224-n;wnja-1.9.0:01131224-n	duty of a child to its parents
i41330	1		pwn-3.0:01131330-n	pwn-3.0:01131330-n;wnja-1.9.0:01131330-n;wnb_id-2.0:01131330-n;wnb_zsm-2.0:01131330-n	some duty that is essential and urgent
